s,a,r,sp
160,0,1,0
0,1,-10,2
167,0,-1,0
0,0,-10,2
10,0,-1,0
0,0,-10,2
109,1,-1,0
0,1,-10,2
140,0,0,0
0,0,-10,2
109,1,-1,0
0,0,-10,2
32,0,0,1
1,1,10,2
104,1,0,0
0,1,-10,2
83,1,0,0
0,1,-10,2
173,1,0,0
0,1,-10,2
68,1,0,68
68,0,0,1
1,0,10,2
61,1,1,66
66,1,0,68
68,1,0,74
74,0,1,0
0,1,-10,2
55,1,-1,0
0,1,-10,2
85,1,0,90
90,1,-1,0
0,0,-10,2
84,1,0,92
92,0,1,1
1,0,10,2
137,0,0,0
0,0,-10,2
48,0,0,0
0,1,-10,2
89,0,1,0
0,0,-10,2
138,0,0,1
1,0,10,2
115,1,1,119
119,0,0,0
0,0,-10,2
127,1,-1,0
0,0,-10,2
5,0,-1,0
0,1,-10,2
172,1,1,174
174,1,0,178
178,0,1,0
0,1,-10,2
122,1,0,0
0,0,-10,2
176,1,0,0
0,0,-10,2
145,1,-1,0
0,1,-10,2
51,0,0,1
1,0,10,2
33,0,0,0
0,1,-10,2
64,0,-1,0
0,0,-10,2
177,0,0,0
0,1,-10,2
14,0,0,0
0,0,-10,2
103,1,0,110
110,0,1,1
1,0,10,2
9,1,1,13
13,0,0,0
0,1,-10,2
172,1,1,180
180,0,1,1
1,1,10,2
116,1,1,121
121,1,0,0
0,1,-10,2
175,0,0,0
0,1,-10,2
162,1,-1,0
0,1,-10,2
125,0,1,1
1,1,10,2
71,0,1,0
0,1,-10,2
179,1,-1,0
0,1,-10,2
70,1,-1,0
0,0,-10,2
176,0,0,1
1,0,10,2
122,1,0,0
0,0,-10,2
46,0,-1,0
0,1,-10,2
126,1,-1,128
128,0,1,1
1,1,10,2
181,0,1,1
1,0,10,2
16,1,-1,0
0,0,-10,2
110,1,-1,103
103,1,0,107
107,1,-1,0
0,0,-10,2
37,0,1,1
1,1,10,2
53,1,-1,0
0,1,-10,2
162,1,-1,0
0,0,-10,2
151,1,1,161
161,0,1,0
0,1,-10,2
71,0,1,1
1,1,10,2
15,0,0,0
0,1,-10,2
19,0,1,0
0,1,-10,2
181,1,-1,178
178,0,1,0
0,1,-10,2
54,1,-1,56
56,1,-1,0
0,1,-10,2
49,0,0,0
0,0,-10,2
48,1,0,54
54,1,-1,0
0,1,-10,2
73,1,-1,0
0,0,-10,2
180,1,-1,0
0,0,-10,2
145,0,1,1
1,1,10,2
54,0,1,1
1,0,10,2
99,1,1,109
109,1,-1,0
0,0,-10,2
168,1,1,178
178,0,1,1
1,0,10,2
44,1,1,50
50,1,0,53
53,1,-1,0
0,0,-10,2
83,1,0,87
87,0,0,0
0,0,-10,2
181,0,1,0
0,0,-10,2
36,1,-1,0
0,1,-10,2
103,0,0,1
1,0,10,2
82,1,1,86
86,1,0,92
92,0,1,1
1,1,10,2
113,1,1,123
123,1,0,128
128,0,1,1
1,1,10,2
167,0,-1,0
0,0,-10,2
177,0,0,0
0,0,-10,2
73,1,-1,69
69,1,0,0
0,1,-10,2
138,1,0,143
143,0,1,0
0,1,-10,2
167,0,-1,1
1,0,10,2
167,1,1,177
177,1,0,180
180,0,1,1
1,1,10,2
175,1,0,0
0,0,-10,2
114,0,-1,0
0,1,-10,2
175,0,0,0
0,1,-10,2
172,1,1,182
182,0,1,1
1,1,10,2
171,0,-1,1
1,0,10,2
62,0,-1,0
0,0,-10,2
84,0,0,1
1,0,10,2
